id,annotation_collection,text,tag,property,values
CATMA_9940CFA8-0D0E-4FA5-B159-4411BBFD7733,bettelweib-event_type-michael,"und beschädigte sich, auf eine  gefährliche Weise, das Kreuz",process_event,characters,bettelweib
CATMA_C49C78F9-8E53-4C65-B107-DD580AF63BFF,bettelweib-event_type-michael,dergestalt,non_event,characters,
CATMA_527E6B34-0EB7-416F-ABE6-44C27D397AC8,bettelweib-event_type-michael,daß sie zwar noch mit  unsäglicher Mühe aufstand,process_event,intentional,yes
CATMA_527E6B34-0EB7-416F-ABE6-44C27D397AC8,bettelweib-event_type-michael,daß sie zwar noch mit  unsäglicher Mühe aufstand,process_event,characters,bettelweib
CATMA_BE7A7380-83EF-41FE-A5B3-80C666546575,bettelweib-event_type-michael,"und quer  hinter den Ofen aber, unter Stöhnen und  Ächzen, niedersank",process_event,intentional,no
CATMA_BE7A7380-83EF-41FE-A5B3-80C666546575,bettelweib-event_type-michael,"und quer  hinter den Ofen aber, unter Stöhnen und  Ächzen, niedersank",process_event,characters,bettelweib
CATMA_B06ED18A-91B6-4767-974A-7AE4B3CB2349,bettelweib-event_type-michael,und verschied,process_event,intentional,no
CATMA_B06ED18A-91B6-4767-974A-7AE4B3CB2349,bettelweib-event_type-michael,und verschied,process_event,characters,bettelweib
CATMA_F889F373-7E55-4789-A030-B869BFD71B15,bettelweib-event_type-michael,Mehrere Jahre nachher fand sich ein  florentinischer Ritter bei ihm ein,stative_event,characters,"marquis,ritter"
CATMA_5751101E-2F11-4F86-BD9F-F24AB03617CF,bettelweib-event_type-michael,"da der Marchese, durch Krieg und Mißwachs,  in bedenkliche Vermögensumstände geraten war",process_event,intentional,no
CATMA_5751101E-2F11-4F86-BD9F-F24AB03617CF,bettelweib-event_type-michael,"da der Marchese, durch Krieg und Mißwachs,  in bedenkliche Vermögensumstände geraten war",process_event,characters,marquis
CATMA_616759DC-14CF-4DAF-8B9F-77489B475D8F,bettelweib-event_type-michael,"der das Schloß, seiner schönen  Lage wegen, von ihm kaufen wollte",stative_event,characters,"marquis,ritter"
CATMA_E6430BDD-2322-4947-8405-1371F77F2F23,bettelweib-event_type-michael,"Der Marchese gab seiner Frau auf, den Fremden in dem  obenerwähnten, leerstehenden Zimmer unterzubringen",process_event,intentional,yes
CATMA_E6430BDD-2322-4947-8405-1371F77F2F23,bettelweib-event_type-michael,"Der Marchese gab seiner Frau auf, den Fremden in dem  obenerwähnten, leerstehenden Zimmer unterzubringen",process_event,characters,"marquis,marquise,ritter"
CATMA_24C942BE-143A-4A3A-AEF5-53A29428DE5C,bettelweib-event_type-michael,dem viel an dem  Handel gelegen war,stative_event,characters,marquis
CATMA_CAE826E5-7A83-48C2-BF70-75F4DE07BEC8,bettelweib-event_type-michael,das sehr schön und prächtig  eingerichtet war,stative_event,characters,
CATMA_BFCAC5B2-57DE-4CE2-B409-9B2C40E72109,bettelweib-event_type-michael,Aber wie betreten war das  Ehepaar,stative_event,characters,"marquis,marquise"
CATMA_3074D84B-F9A2-467A-AD3E-7659070B594E,bettelweib-event_type-michael,"als der Ritter mitten in der Nacht, verstört und bleich,  zu ihnen herunterkam, hoch und teuer versichernd",process_event,intentional,yes
CATMA_3074D84B-F9A2-467A-AD3E-7659070B594E,bettelweib-event_type-michael,"als der Ritter mitten in der Nacht, verstört und bleich,  zu ihnen herunterkam, hoch und teuer versichernd",process_event,characters,"marquis,marquise,ritter"
CATMA_31EE44CC-61D2-4650-976C-B5DBEB1835EA,bettelweib-event_type-michael,daß es in dem  Zimmer spuke,process_event,intentional,no
CATMA_31EE44CC-61D2-4650-976C-B5DBEB1835EA,bettelweib-event_type-michael,daß es in dem  Zimmer spuke,process_event,characters,geist
CATMA_06EC92AB-9399-421C-A364-226DD4FC0B63,bettelweib-event_type-michael,"mit vernehmlichen Schritten, langsam  und gebrechlich, quer über das Zimmer gegangen",process_event,intentional,yes
CATMA_06EC92AB-9399-421C-A364-226DD4FC0B63,bettelweib-event_type-michael,"mit vernehmlichen Schritten, langsam  und gebrechlich, quer über das Zimmer gegangen",process_event,characters,geist
CATMA_FB770F40-C013-4CE2-97E4-F68578D024C9,bettelweib-event_type-michael,"und hinter dem  Ofen, unter Stöhnen und Ächzen, niedergesunken sei",process_event,intentional,no
CATMA_FB770F40-C013-4CE2-97E4-F68578D024C9,bettelweib-event_type-michael,"und hinter dem  Ofen, unter Stöhnen und Ächzen, niedergesunken sei",process_event,characters,geist
CATMA_0715F4EB-5B41-447A-A74A-D10B5B134522,bettelweib-event_type-michael,Der Marchese erschrocken lachte den Ritter mit erkünstelter Heiterkeit aus,process_event,intentional,yes
CATMA_0715F4EB-5B41-447A-A74A-D10B5B134522,bettelweib-event_type-michael,Der Marchese erschrocken lachte den Ritter mit erkünstelter Heiterkeit aus,process_event,characters,"marquis,ritter"
CATMA_9433EFA9-0753-4675-B96B-8262C97AF7E1,bettelweib-event_type-michael,er wußte selbst nicht recht warum,non_event,characters,marquis
CATMA_6532B9A8-DB5C-491D-89CE-8567006D404D,bettelweib-event_type-michael,und sagte,process_event,intentional,yes
CATMA_6532B9A8-DB5C-491D-89CE-8567006D404D,bettelweib-event_type-michael,und sagte,process_event,characters,marquis
CATMA_250ABEE1-7BE2-40CD-84A3-EFDA9023011A,bettelweib-event_type-michael,er  wolle sogleich aufstehen,stative_event,characters,marquis
CATMA_8806DFD7-4AEB-46B2-8139-B2E9E40AA699,bettelweib-event_type-michael,"und die Nacht zu seiner Beruhigung, mit  ihm in dem Zimmer zubringen",non_event,characters,"marquis,ritter"
CATMA_7316CF64-E7A7-435E-A51C-92DF1EDE47F2,bettelweib-event_type-michael,"Doch der Ritter bat um die  Gefälligkeit, ihm zu erlauben",process_event,intentional,yes
CATMA_7316CF64-E7A7-435E-A51C-92DF1EDE47F2,bettelweib-event_type-michael,"Doch der Ritter bat um die  Gefälligkeit, ihm zu erlauben",process_event,characters,"marquis,ritter"
CATMA_D24D5B5D-A85E-4FEA-A863-D559576B75D1,bettelweib-event_type-michael,"daß er auf einem Lehnstuhl, in  seinem Schlafzimmer übernachte",stative_event,characters,ritter
CATMA_B4A3826B-2794-4B37-8047-A5835A24ED45,bettelweib-event_type-michael,und als der Morgen kam,stative_event,characters,
CATMA_320E2C48-9E4D-46DE-BE44-66D38CDC4AE4,bettelweib-event_type-michael,ließ er  anspannen,process_event,intentional,yes
CATMA_320E2C48-9E4D-46DE-BE44-66D38CDC4AE4,bettelweib-event_type-michael,ließ er  anspannen,process_event,characters,"diener,ritter"
CATMA_9C7E67C6-BF75-4C58-A0DD-F7AF56F837F8,bettelweib-event_type-michael,empfahl sich,process_event,intentional,yes
CATMA_9C7E67C6-BF75-4C58-A0DD-F7AF56F837F8,bettelweib-event_type-michael,empfahl sich,process_event,characters,"marquis,marquise,ritter"
CATMA_8E2CC207-C8C1-47C1-AEAB-BC1407B2D72C,bettelweib-event_type-michael,und reiste ab,process_event,intentional,yes
CATMA_8E2CC207-C8C1-47C1-AEAB-BC1407B2D72C,bettelweib-event_type-michael,und reiste ab,process_event,characters,ritter
CATMA_344C0EDD-C296-4C47-93C5-313BE33C0438,bettelweib-event_type-michael,"Dieser Vorfall schreckte  auf eine dem Marchese höchst unangenehme Weise, mehrere Käufer ab",process_event,intentional,yes
CATMA_344C0EDD-C296-4C47-93C5-313BE33C0438,bettelweib-event_type-michael,"Dieser Vorfall schreckte  auf eine dem Marchese höchst unangenehme Weise, mehrere Käufer ab",process_event,characters,"kaeufer,marquis"
CATMA_DA78132D-63C1-4A8C-ADAC-0676386BACC2,bettelweib-event_type-michael,der außerordentliches Aufsehen machte,process_event,intentional,no
CATMA_DA78132D-63C1-4A8C-ADAC-0676386BACC2,bettelweib-event_type-michael,der außerordentliches Aufsehen machte,process_event,characters,
CATMA_5CF86CD9-1F1B-411A-8A82-53D0451BC8B4,bettelweib-event_type-michael,"dergestalt, daß, da sich unter seinem eigenen Hausgesinde,  befremdend und unbegreiflich, das Gerücht erhob",process_event,intentional,yes
CATMA_5CF86CD9-1F1B-411A-8A82-53D0451BC8B4,bettelweib-event_type-michael,"dergestalt, daß, da sich unter seinem eigenen Hausgesinde,  befremdend und unbegreiflich, das Gerücht erhob",process_event,characters,bediente
CATMA_29BC5EA5-AA92-4563-9ED8-18B9FBEDB803,bettelweib-event_type-michael,"daß es in dem  Zimmer, zur Mitternachtsstunde, umgehe",process_event,intentional,yes
CATMA_29BC5EA5-AA92-4563-9ED8-18B9FBEDB803,bettelweib-event_type-michael,"daß es in dem  Zimmer, zur Mitternachtsstunde, umgehe",process_event,characters,geist
CATMA_30B1E78D-7778-43F7-931C-B080781EAEAC,bettelweib-event_type-michael,"er, um es mit einem  entscheidenden Verfahren niederzuschlagen, beschloß, die Sache in  der nächsten Nacht selbst zu untersuchen",process_event,intentional,yes
CATMA_30B1E78D-7778-43F7-931C-B080781EAEAC,bettelweib-event_type-michael,"er, um es mit einem  entscheidenden Verfahren niederzuschlagen, beschloß, die Sache in  der nächsten Nacht selbst zu untersuchen",process_event,characters,marquis
CATMA_002EF440-3DD4-4178-A227-5370DF90CF47,bettelweib-event_type-michael,"Demnach ließ er, beim  Einbruch der Dämmerung, sein Bett in dem besagten Zimmer  aufschlagen",process_event,intentional,yes
CATMA_002EF440-3DD4-4178-A227-5370DF90CF47,bettelweib-event_type-michael,"Demnach ließ er, beim  Einbruch der Dämmerung, sein Bett in dem besagten Zimmer  aufschlagen",process_event,characters,"bediente,marquis"
CATMA_E6B37570-C4FB-426F-A06D-A9C8836EFFC2,bettelweib-event_type-michael,"und erharrte, ohne zu schlafen, die Mitternacht",process_event,intentional,yes
CATMA_E6B37570-C4FB-426F-A06D-A9C8836EFFC2,bettelweib-event_type-michael,"und erharrte, ohne zu schlafen, die Mitternacht",process_event,characters,marquis
CATMA_CD7C4738-5E07-47C8-8AD9-E1FB268FD9E7,bettelweib-event_type-michael,Aber  wie erschüttert war er,stative_event,characters,marquis
CATMA_EA12AA87-DC49-4263-B0BD-FA93D876FD97,bettelweib-event_type-michael,"als er in der Tat, mit dem Schlage der  Geisterstunde, das unbegreifliche Geräusch wahrnahm",process_event,intentional,no
CATMA_EA12AA87-DC49-4263-B0BD-FA93D876FD97,bettelweib-event_type-michael,"als er in der Tat, mit dem Schlage der  Geisterstunde, das unbegreifliche Geräusch wahrnahm",process_event,characters,"geist,marquis"
CATMA_8CA94FCA-41F8-4434-82EC-B94F51C1BA59,bettelweib-event_type-michael,es war,stative_event,characters,
CATMA_72CBDC60-654B-42B5-B690-6941AA8C0DE5,bettelweib-event_type-michael,als  ob ein Mensch sich von Stroh erhob,non_event,characters,
CATMA_6742C934-77EF-427A-B84A-20CE5BF93CB0,bettelweib-event_type-michael,das unter ihm knisterte,process_event,intentional,no
CATMA_6742C934-77EF-427A-B84A-20CE5BF93CB0,bettelweib-event_type-michael,das unter ihm knisterte,process_event,characters,
CATMA_D8ABDF09-52BC-43BC-B1B4-8DFB3E646707,bettelweib-event_type-michael,quer  über das Zimmer ging,process_event,intentional,no
CATMA_D8ABDF09-52BC-43BC-B1B4-8DFB3E646707,bettelweib-event_type-michael,quer  über das Zimmer ging,process_event,characters,geist
CATMA_0B7782C3-6243-4327-8E0B-233F07DD08CA,bettelweib-event_type-michael,"und hinter dem Ofen, unter Geseufz und  Geröchel niedersank",process_event,intentional,no
CATMA_0B7782C3-6243-4327-8E0B-233F07DD08CA,bettelweib-event_type-michael,"und hinter dem Ofen, unter Geseufz und  Geröchel niedersank",process_event,characters,geist
CATMA_E3A4D542-0D66-449A-8431-5084A54AEA64,bettelweib-event_type-michael,"Die Marquise, am andern Morgen fragte ihn",process_event,intentional,yes
CATMA_E3A4D542-0D66-449A-8431-5084A54AEA64,bettelweib-event_type-michael,"Die Marquise, am andern Morgen fragte ihn",process_event,characters,"marquis,marquise"
CATMA_64E10740-AD17-482F-93BD-2B121769A3EC,bettelweib-event_type-michael,da er  herunterkam,process_event,intentional,yes
CATMA_64E10740-AD17-482F-93BD-2B121769A3EC,bettelweib-event_type-michael,da er  herunterkam,process_event,characters,marquis
CATMA_1F6BC278-723A-48F4-9BD5-F4C9AC8460C1,bettelweib-event_type-michael,wie die Untersuchung abgelaufen,non_event,characters,marquis
CATMA_893B8B10-4634-48B4-825B-711F20CD70F3,bettelweib-event_type-michael,"und da  er sich, mit scheuen und ungewissen Blicken, umsah",process_event,intentional,yes
CATMA_893B8B10-4634-48B4-825B-711F20CD70F3,bettelweib-event_type-michael,"und da  er sich, mit scheuen und ungewissen Blicken, umsah",process_event,characters,marquis
CATMA_B597D8C1-5E67-4861-9631-FE51766739C2,bettelweib-event_type-michael,und versicherte,process_event,intentional,yes
CATMA_B597D8C1-5E67-4861-9631-FE51766739C2,bettelweib-event_type-michael,und versicherte,process_event,characters,marquis
CATMA_2173E038-859E-4E22-8D9D-902116FF7A6A,bettelweib-event_type-michael,nachdem  er die Tür verriegelt,process_event,intentional,yes
CATMA_2173E038-859E-4E22-8D9D-902116FF7A6A,bettelweib-event_type-michael,nachdem  er die Tür verriegelt,process_event,characters,marquis
CATMA_7406248A-2AA8-4AB6-B5E3-1FDE14EC28F2,bettelweib-event_type-michael,daß es mit dem Spuk seine  Richtigkeit habe,stative_event,characters,geist
CATMA_4C7D94AF-4D1B-4D38-A9EB-462292B38F3D,bettelweib-event_type-michael,so erschrak sie,stative_event,characters,marquise
CATMA_347D8AFB-205A-422E-9F07-8FBA598532D1,bettelweib-event_type-michael,wie sie in ihrem Leben nicht  getan,non_event,characters,marquise
CATMA_C3BAC11F-F6E4-46E5-A922-8CF81E37AB2B,bettelweib-event_type-michael,und bat ihn,process_event,intentional,yes
CATMA_C3BAC11F-F6E4-46E5-A922-8CF81E37AB2B,bettelweib-event_type-michael,und bat ihn,process_event,characters,"marquis,marquise"
CATMA_2432EB27-EB39-44CC-8117-49202E6B727B,bettelweib-event_type-michael,bevor er die Sache verlauten ließe,non_event,characters,marquis
CATMA_7190EEF2-9766-40F4-9321-5F46C5807CFF,bettelweib-event_type-michael,"sie noch  einmal, in ihrer Gesellschaft, einer kaltblütigen Prüfung zu  unterwerfen",non_event,characters,marquis
CATMA_7C3F7160-2E65-4F6D-8C79-05B2146A9211,bettelweib-event_type-michael,Sie hörten aber samt einem treuen Bedienten,process_event,intentional,no
CATMA_7C3F7160-2E65-4F6D-8C79-05B2146A9211,bettelweib-event_type-michael,Sie hörten aber samt einem treuen Bedienten,process_event,characters,"bediente,marquis,marquise"
CATMA_49DC31BB-33F3-4861-9507-F393D4027374,bettelweib-event_type-michael,"den sie  
 mitgenommen hatten",process_event,intentional,yes
CATMA_49DC31BB-33F3-4861-9507-F393D4027374,bettelweib-event_type-michael,"den sie  
 mitgenommen hatten",process_event,characters,"bediente,marquis,marquise"
CATMA_761D893E-1EBC-4A8B-B9BF-438B63AF1117,bettelweib-event_type-michael,"in der Tat, in der nächsten Nacht dasselbe  unbegreifliche, gespensterartige Geräusch",process_event,intentional,no
CATMA_761D893E-1EBC-4A8B-B9BF-438B63AF1117,bettelweib-event_type-michael,"in der Tat, in der nächsten Nacht dasselbe  unbegreifliche, gespensterartige Geräusch",process_event,characters,"bediente,geist,marquis,marquise"
CATMA_44A2CAB1-58E5-4E33-AF5D-B56F64DFE4A3,bettelweib-event_type-michael,"und nur der dringende  Wunsch, das Schloß loszuwerden, vermochte  sie, das Entsetzen in Gegenwart ihres Dieners zu  unterdrücken",process_event,intentional,yes
CATMA_44A2CAB1-58E5-4E33-AF5D-B56F64DFE4A3,bettelweib-event_type-michael,"und nur der dringende  Wunsch, das Schloß loszuwerden, vermochte  sie, das Entsetzen in Gegenwart ihres Dieners zu  unterdrücken",process_event,characters,"bediente,marquis,marquise"
CATMA_395C3D16-FD8F-4F91-BC4F-3DCB1A2D63B8,bettelweib-event_type-michael,das sie ergriff,stative_event,characters,"marquis,marquise"
CATMA_9F11F073-2DCC-484C-856B-9E3A055D7B07,bettelweib-event_type-michael,und dem Vorfall irgendeine gleichgültige und  zufällige Ursache unterzuschieben,process_event,intentional,yes
CATMA_9F11F073-2DCC-484C-856B-9E3A055D7B07,bettelweib-event_type-michael,und dem Vorfall irgendeine gleichgültige und  zufällige Ursache unterzuschieben,process_event,characters,"marquis,marquise"
CATMA_EA602DE2-1B2D-43BA-B65F-FF88D6C38A55,bettelweib-event_type-michael,die sich entdecken lassen müsse,non_event,characters,
